"address","parcel_id","latitude","longitude"
"638 CLINTON AVE, Albany, NY, 12206","65.46-3-9",42.66732845,-73.77296200743243
"681 STATE ST, Albany, NY, 12203","65.62-3-13",42.6631596,-73.7766763
"378 LIVINGSTON AVE, Albany, NY, 12206","65.56-1-20.1",42.665468149999995,-73.76202864891965
"682 N PEARL ST, Albany, NY, 12204","65.28-1-11",42.67682655,-73.73762926339714
"45 MELROSE AVE, Albany, NY, 12203","64.42-1-79",42.671306349999995,-73.79777019868058
"2 THURLOW TER, Albany, NY, 12203","65.17-2-13",42.6602508,-73.7732702
"4 BOGARDUS RD, Albany, NY, 12208","64.65-1-69",42.6612563,-73.803814967818
"49 KAKELY ST, Albany, NY, 12208","64.65-1-59",42.66177915,-73.80489655
"53 FROST PL, Albany, NY, 12205","53.65-2-22",42.684163749999996,-73.80000544655489
"56 BELVIDERE AVE, Albany, NY, 12203","64.33-1-41",42.672432799999996,-73.80306059495004
"108 BENSON ST, Albany, NY, 12206","65.45-3-23",42.6668626,-73.77954925
"40 MC KINLEY ST, Albany, NY, 12206","64.36-1-40",42.67382005,-73.78684621022728
"88 BEACON AVE, Albany, NY, 12203","64.38-4-13",42.67024255,-73.81789901038903
"110 YARDBORO AVE, Albany, NY, 12205","53.56-2-35",42.68892425,-73.80523501451697
"35 MELROSE AVE, Albany, NY, 12203","64.42-1-64",42.67086635,-73.79724486103274
"445 ELK ST, Albany, NY, 12206","65.55-2-54",42.66590695,-73.7715143
"53 HOLMES CT, Albany, NY, 12209","75.67-1-45",42.63997405,-73.79291764670417
"39 GLENWOOD ST, Albany, NY, 12208","64.83-2-29",42.65617375,-73.79148024067423
"47 WELLINGTON AVE, Albany, NY, 12203","64.38-4-37",42.6700962,-73.81925857892209
"37 ELMHURST AVE, Albany, NY, 12203","64.29-3-45",42.67230045,-73.82570848266508
"99 CHESTNUT ST, Albany, NY, 12210","76.24-7-50",42.65382525,-73.76186976477933
